2019-09-05 10:45:47,941 -  testcases.test_invest - DEBUG - 准备测试前置 - [test_invest.py:25 ]
2019-09-05 10:45:48,127 -  testcases.test_invest - DEBUG - 开始测试:管理员正常登录 - [test_invest.py:31 ]
2019-09-05 10:45:48,232 -  testcases.test_invest - DEBUG - 开始测试:管理员加标 - [test_invest.py:31 ]
2019-09-05 10:45:48,237 -  common.http_request - DEBUG - 请求的方法:GET - [http_request.py:56 ]
2019-09-05 10:45:48,237 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/loan/add - [http_request.py:57 ]
2019-09-05 10:45:48,237 -  common.http_request - DEBUG - 请求data:{'repaymemtWay': 11, 'amount': 20000, 'loanTerm': 3, 'biddingDays': 5, 'memberId': '1197', 'loanDateType': 0, 'title': '世界这么大，想去看一看', 'loanRate': '12.0'} - [http_request.py:58 ]
2019-09-05 10:45:48,550 -  testcases.test_invest - ERROR - 报错了:'10001' != None - [test_invest.py:60 ]
2019-09-05 10:45:48,555 -  testcases.test_invest - DEBUG - 开始测试:管理员审核 - [test_invest.py:31 ]
2019-09-05 10:45:48,569 -  testcases.test_invest - DEBUG - 开始测试:投资人正常登录 - [test_invest.py:31 ]
2019-09-05 10:45:48,577 -  common.http_request - DEBUG - 请求的方法:GET - [http_request.py:56 ]
2019-09-05 10:45:48,577 -  common.http_request - DEBUG - 请求的URL:http://test.lemonban.com/futureloan/mvc/api/member/login - [http_request.py:57 ]
2019-09-05 10:45:48,577 -  common.http_request - DEBUG - 请求data:{'mobilephone': '15810447878', 'pwd': '123456'} - [http_request.py:58 ]
2019-09-05 10:45:48,744 -  testcases.test_invest - DEBUG - 结束测试:投资人正常登录 - [test_invest.py:64 ]
2019-09-05 10:45:48,744 -  testcases.test_invest - DEBUG - 开始测试:投资人正常投资 - [test_invest.py:31 ]
2019-09-05 10:45:48,748 -  testcases.test_invest - DEBUG - 开始测试:投资人投资不输入金额 - [test_invest.py:31 ]
2019-09-05 10:45:48,748 -  testcases.test_invest - DEBUG - 开始测试:投资人投资输入负数 - [test_invest.py:31 ]
2019-09-05 10:45:48,753 -  testcases.test_invest - DEBUG - 测试后置处理 - [test_invest.py:68 ]
